абажур	абажур:ROOT
абажурчик	абажур:ROOT/чик:SUFF
абдуктивный	аб:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ый:END
дедуктивный	де:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ый:END
индуктивный	ин:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ый:END
индукторный	ин:PREF/дукт:ROOT/ор:SUFF/н:SUFF/ый:END
индукционный	ин:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
индуцирующий	ин:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END
продуктивный	про:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ый:END
продуктовый	про:PREF/дукт:ROOT/ов:SUFF/ый:END
продукционный	про:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
продуцировавший	про:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
продуцированный	про:PREF/дуц:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
продуцирующий	про:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END
продуцирующийся	про:PREF/дуц:ROOT/ир:SUFF/ующ:SUFF/ий:END/ся:SUFF
редукторный	ре:PREF/дукт:ROOT/ор:SUFF/н:SUFF/ый:END
редукционный	ре:PREF/дукц:ROOT/ион:SUFF/н:SUFF/ый:END
абдукция	аб:PREF/дукц:ROOT/и:SUFF/я:END
дедуктивность	де:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ост:SUFF/ь:END
дедукция	де:PREF/дукц:ROOT/и:SUFF/я:END
индуктивности	ин:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ост:SUFF/и:END
индуктивность	ин:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ост:SUFF/ь:END
индуктор	ин:PREF/дукт:ROOT/ор:SUFF
индукторы	ин:PREF/дукт:ROOT/ор:SUFF/ы:END
индукция	ин:PREF/дукц:ROOT/и:SUFF/я:END
кондуктор	кон:PREF/дукт:ROOT/ор:SUFF
кондукторы	кон:PREF/дукт:ROOT/ор:SUFF/ы:END
продукт	про:PREF/дукт:ROOT
продуктивность	про:PREF/дукт:ROOT/ив:SUFF/н:SUFF/ост:SUFF/ь:END
продукты	про:PREF/дукт:ROOT/ы:END
продукции	про:PREF/дукц:ROOT/и:SUFF/и:END
продукция	про:PREF/дукц:ROOT/и:SUFF/я:END
продуцент	про:PREF/дуц:ROOT/ент:SUFF
продуценты	про:PREF/дуц:ROOT/ент:SUFF/ы:END
редуктор	ре:PREF/дукт:ROOT/ор:SUFF
редукторы	ре:PREF/дукт:ROOT/ор:SUFF/ы:END
редукция	ре:PREF/дукц:ROOT/и:SUFF/я:END
абонемент	абон:ROOT/ем:SUFF/ент:SUFF
абонементы	абон:ROOT/ем:SUFF/ент:SUFF/ы:END
абонент	абон:ROOT/ент:SUFF
абонентка	абон:ROOT/ент:SUFF/к:SUFF/а:END
абонентки	абон:ROOT/ент:SUFF/к:SUFF/и:END
