абажур	абажур:ROOT
абажурчик	абажурч:ROOT/ик:SUFF
абдуктивный	абдукт:ROOT/ивн:SUFF/ый:END
дедуктивный	дедукт:ROOT/ивн:SUFF/ый:END
индуктивный	индукт:ROOT/ивн:SUFF/ый:END
индукторный	индукт:ROOT/орн:SUFF/ый:END
индукционный	индукц:ROOT/ионн:SUFF/ый:END
индуцирующий	индуц:ROOT/ирующ:SUFF/ий:END
продуктивный	продукт:ROOT/ивн:SUFF/ый:END
продуктовый	продукт:ROOT/ов:SUFF/ый:END
продукционный	продукц:ROOT/ионн:SUFF/ый:END
продуцировавший	продуц:ROOT/ировавш:SUFF/ий:END
продуцированный	продуц:ROOT/ированн:SUFF/ый:END
продуцирующий	продуц:ROOT/ирующ:SUFF/ий:END
продуцирующийся	продуц:ROOT/ирующ:SUFF/ий:END/ся:POSTFIX
редукторный	редукт:ROOT/орн:SUFF/ый:END
редукционный	редукц:ROOT/ионн:SUFF/ый:END
абдукция	абдукц:ROOT/и:SUFF/я:END
дедуктивность	дедукт:ROOT/ивност:SUFF/ь:END
дедукция	дедукц:ROOT/и:SUFF/я:END
индуктивности	индукт:ROOT/ивност:SUFF/и:END
индуктивность	индукт:ROOT/ивност:SUFF/ь:END
индуктор	индукт:ROOT/ор:SUFF
индукторы	индукт:ROOT/ор:SUFF/ы:END
индукция	индукц:ROOT/и:SUFF/я:END
кондуктор	кондукт:ROOT/ор:SUFF
кондукторы	кондукт:ROOT/ор:SUFF/ы:END
продукт	продукт:ROOT
продуктивность	продукт:ROOT/ивност:SUFF/ь:END
продукты	продукт:ROOT/ы:END
продукции	продукц:ROOT/и:SUFF/и:END
продукция	продукц:ROOT/и:SUFF/я:END
продуцент	продуц:ROOT/ент:SUFF
продуценты	продуц:ROOT/ент:SUFF/ы:END
редуктор	редукт:ROOT/ор:SUFF
редукторы	редукт:ROOT/ор:SUFF/ы:END
редукция	редукц:ROOT/и:SUFF/я:END
абонемент	абонем:ROOT/ент:SUFF
абонементы	абонем:ROOT/ент:SUFF/ы:END
абонент	абон:ROOT/ент:SUFF
абонентка	абонент:ROOT/к:SUFF/а:END
абонентки	абонент:ROOT/к:SUFF/и:END
абоненты	абон:ROOT/ент:SUFF/ы:END
абонементный	абон:ROOT/ементн:SUFF/ый:END
абонентный	абонент:ROOT/н:SUFF/ый:END
абонентский	абон:ROOT/ентск:SUFF/ий:END
абрикос	абрик:ROOT/ос:SUFF
абрикосик	абрикос:ROOT/ик:SUFF
абрикосики	абрикос:ROOT/ик:SUFF/и:END
абрикосы	абрик:ROOT/ос:SUFF/ы:END
абстрактный	абстракт:ROOT/н:SUFF/ый:END
абстракционистский	абстракц:ROOT/ионистск:SUFF/ий:END
абхаз	абхаз:ROOT
абхазец	абхаз:ROOT/ец:SUFF
абхазка	абхаз:ROOT/к:SUFF/а:END
абхазки	абхаз:ROOT/к:SUFF/и:END
абхазцы	абхаз:ROOT/ц:SUFF/ы:END
авангард	авангард:ROOT
авангардизм	авангард:ROOT/изм:SUFF
авангардист	авангард:ROOT/ист:SUFF
авангардисты	авангард:ROOT/ист:SUFF/ы:END
авангардистский	авангард:ROOT/истск:SUFF/ий:END
авангардный	авангард:ROOT/н:SUFF/ый:END
аванс	аван:ROOT/с:SUFF
авансик	аванс:ROOT/ик:SUFF
авансики	аван:ROOT/сик:SUFF/и:END
авансы	аван:ROOT/с:SUFF/ы:END
авантюра	авант:ROOT/юр:SUFF/а:END
авантюризм	авантюр:ROOT/изм:SUFF
авантюрист	аван:ROOT/тюрист:SUFF
авантюристка	авантюр:ROOT/истк:SUFF/а:END
авантюристки	авантюр:ROOT/истк:SUFF/и:END
авантюристы	аван:ROOT/тюрист:SUFF/ы:END
авантюричность	авантюр:ROOT/ичност:SUFF/ь:END
авантюристический	авантюр:ROOT/истическ:SUFF/ий:END
авантюристский	авантюр:ROOT/истск:SUFF/ий:END
авантюрный	авантюр:ROOT/н:SUFF/ый:END
аварии	авар:ROOT/и:SUFF/и:END
аварийность	аварий:ROOT/ност:SUFF/ь:END
аварийщик	аварий:ROOT/щик:SUFF
аварийщики	аварий:ROOT/щик:SUFF/и:END
авария	авар:ROOT/и:SUFF/я:END
безаварийность	безаварий:ROOT/ност:SUFF/ь:END
аварийный	аварий:ROOT/н:SUFF/ый:END
безаварийный	безаварий:ROOT/н:SUFF/ый:END
авиаторский	авиат:ROOT/орск:SUFF/ий:END
авиационный	ави:ROOT/ационн:SUFF/ый:END
автобиографический	автобиограф:ROOT/ическ:SUFF/ий:END
автобиографичный	автобиограф:ROOT/ичн:SUFF/ый:END
автомат	автом:ROOT/ат:SUFF
автоматизация	автомат:ROOT/изаци:SUFF/я:END
автоматизм	автомат:ROOT/изм:SUFF
автоматика	автомат:ROOT/ик:SUFF/а:END
автоматичность	автомат:ROOT/ичност:SUFF/ь:END
автоматчик	автомат:ROOT/чик:SUFF
автоматчики	автомат:ROOT/чик:SUFF/и:END
автоматы	автомат:ROOT/ы:END
автоматизированный	автомат:ROOT/изированн:SUFF/ый:END
автоматический	автомат:ROOT/ическ:SUFF/ий:END
автоматичный	автомат:ROOT/ичн:SUFF/ый:END
автоматный	автомат:ROOT/н:SUFF/ый:END
неавтоматизированный	не:ROOT/а:SUFF/втомат:ROOT/изированн:SUFF/ый:END
автоматизировать	автомат:ROOT/изиров:SUFF/ать:END
автоматизироваться	автомат:ROOT/изиров:SUFF/ать:END/ся:POSTFIX
автомобили	автомоб:ROOT/ил:SUFF/и:END
автомобилизация	автомобил:ROOT/изаци:SUFF/я:END
автомобилизм	автомобил:ROOT/изм:SUFF
автомобилист	автомобил:ROOT/ист:SUFF
автомобилистка	автомобил:ROOT/истк:SUFF/а:END
автомобилистки	автомобил:ROOT/истк:SUFF/и:END
автомобилисты	автомобил:ROOT/ист:SUFF/ы:END
автомобиль	автомоб:ROOT/ил:SUFF/ь:END
автомобильчик	автомобильч:ROOT/ик:SUFF
автомобильчики	автомобиль:ROOT/чик:SUFF/и:END
автономия	автоном:ROOT/и:SUFF/я:END
автономность	автоном:ROOT/ност:SUFF/ь:END
автор	автор:ROOT
авторизация	автор:ROOT/изаци:SUFF/я:END
авторитарность	авторит:ROOT/арност:SUFF/ь:END
авторитет	авторит:ROOT/ет:SUFF
авторитетность	авторит:ROOT/етност:SUFF/ь:END
авторитеты	авторит:ROOT/ет:SUFF/ы:END
авторство	автор:ROOT/ств:SUFF/о:END
авторы	автор:ROOT/ы:END
соавтор	соавт:ROOT/ор:SUFF
соавторство	соавтор:ROOT/ств:SUFF/о:END
соавторы	соавт:ROOT/ор:SUFF/ы:END
авторизованный	авториз:ROOT/ованн:SUFF/ый:END
авторизующий	авториз:ROOT/ующ:SUFF/ий:END
авторитарный	авторит:ROOT/арн:SUFF/ый:END
авторитетный	авторит:ROOT/етн:SUFF/ый:END
авторский	авт:ROOT/орск:SUFF/ий:END
соавторский	соавт:ROOT/орск:SUFF/ий:END
агент	агент:ROOT
агентства	агент:ROOT/ств:SUFF/а:END
агентство	агент:ROOT/ств:SUFF/о:END
агентура	агент:ROOT/ур:SUFF/а:END
агентушка	агент:ROOT/ушк:SUFF/а:END
агентушки	агент:ROOT/ушк:SUFF/и:END
агенты	агент:ROOT/ы:END
агентивный	агент:ROOT/ивн:SUFF/ый:END
агентский	аген:ROOT/тск:SUFF/ий:END
агентурный	агентур:ROOT/н:SUFF/ый:END
агитаторский	агит:ROOT/аторск:SUFF/ий:END
агитационный	агит:ROOT/ационн:SUFF/ый:END
