механизм	механ:ROOT/изм:SUFF
осуждаться	о:PREF/сужд:ROOT/ать:END/ся:POSTFIX
любезный	люб:ROOT/езн:SUFF/ый:END
выменивать	вы:PREF/мен:ROOT/ив:SUFF/ать:END
отверточка	от:PREF/верт:ROOT/оч:SUFF/к:SUFF/а:END
уцелевание	у:PREF/цел:ROOT/ев:SUFF/ани:SUFF/е:END
изготовлять	из:PREF/готовл:ROOT/ять:END
захваленный	за:PREF/хвал:ROOT/енн:SUFF/ый:END
заглядывающий	за:PREF/гляд:ROOT/ыв:SUFF/ающ:SUFF/ий:END
свойственницы	свой:ROOT/ств:SUFF/ен:SUFF/ниц:SUFF/ы:END
посаленный	по:PREF/сал:ROOT/енн:SUFF/ый:END
звучащий	звуч:ROOT/ащ:SUFF/ий:END
актовый	акт:ROOT/ов:SUFF/ый:END
книженция	книж:ROOT/енц:SUFF/и:SUFF/я:END
завозка	за:PREF/воз:ROOT/к:SUFF/а:END
убыстрить	у:PREF/быстр:ROOT/ить:END
совестливость	совест:ROOT/лив:SUFF/ост:SUFF/ь:END
воздержание	воз:PREF/держ:ROOT/ани:SUFF/е:END
заклеить	за:PREF/кле:ROOT/ить:END
редукторы	ре:PREF/дукт:ROOT/ор:SUFF/ы:END
чуждающийся	чужд:ROOT/ающ:SUFF/ий:END/ся:POSTFIX
отделы	от:PREF/дел:ROOT/ы:END
верхний	верх:ROOT/н:SUFF/ий:END
семинар	семинар:ROOT
довесить	до:PREF/вес:ROOT/ить:END
оббежать	об:PREF/беж:ROOT/ать:END
забелеть	за:PREF/бел:ROOT/еть:END
доказывать	до:PREF/каз:ROOT/ыв:SUFF/ать:END
займы	за:PREF/йм:ROOT/ы:END
приближаться	при:PREF/ближ:ROOT/ать:END/ся:POSTFIX
юморист	юмор:ROOT/ист:SUFF
безделушка	без:PREF/дел:ROOT/ушк:SUFF/а:END
мягчильный	мягч:ROOT/иль:SUFF/н:SUFF/ый:END
забросы	за:PREF/брос:ROOT/ы:END
