Слово,Словарь тихонова,Словарь CrossLexica,POS
выжить, вы:PREF/жи:ROOT/ть:SUFF, вы:PREF/жи:ROOT/ть:END, VERB
поделить, по:PREF/дел:ROOT/и:SUFF/ть:SUFF, по:PREF/дел:ROOT/ить:END, VERB
осознать, о:PREF/созна:ROOT/ть:SUFF, осо:PREF/зн:ROOT/ать:END, VERB
расстреливать, рас:PREF/стрел:ROOT/ива:SUFF/ть:SUFF, рас:PREF/стрел:ROOT/ив:SUFF/ать:END, VERB
поработать, по:PREF/работ:ROOT/а:SUFF/ть:SUFF, по:PREF/работ:ROOT/ать:END, VERB
замораживать, за:PREF/мораж:ROOT/ива:SUFF/ть:SUFF, за:PREF/мораж:ROOT/ив:SUFF/ать:END, VERB
набалтывать, на:PREF/балт:ROOT/ыва:SUFF/ть:SUFF, на:PREF/балт:ROOT/ыв:SUFF/ать:END, VERB
указываться, указ:ROOT/ыва:SUFF/ть:SUFF/ся:POSTFIX, у:PREF/каз:ROOT/ыв:SUFF/ать:END/ся:POSTFIX, VERB
баллотироваться, баллот:ROOT/ир:SUFF/ова:SUFF/ть:SUFF/ся:POSTFIX, баллот:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX, VERB
отворять, о:PREF/твор:ROOT/я:SUFF/ть:SUFF, о:PREF/твор:ROOT/ять:END, VERB
обручиться, обруч:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/руч:ROOT/ить:END/ся:POSTFIX, VERB
напариться, на:PREF/пар:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, на:PREF/пар:ROOT/ить:END/ся:POSTFIX, VERB
недобрать, не:PREF/до:PREF/бр:ROOT/а:SUFF/ть:SUFF, недо:PREF/бр:ROOT/ать:END, VERB
выслушиваться, вы:PREF/слуш:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/слуш:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
придавать, при:PREF/да:ROOT/ва:SUFF/ть:SUFF, при:PREF/дав:ROOT/ать:END, VERB
развращаться, развращ:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, раз:PREF/вращ:ROOT/ать:END/ся:POSTFIX, VERB
раздумывать, раз:PREF/дум:ROOT/ыва:SUFF/ть:SUFF, раз:PREF/дум:ROOT/ыв:SUFF/ать:END, VERB
прошивать, про:PREF/ши:ROOT/ва:SUFF/ть:SUFF, про:PREF/шив:ROOT/ать:END, VERB
перепадать, пере:PREF/пад:ROOT/а:SUFF/ть:SUFF, пере:PREF/пад:ROOT/ать:END, VERB
нарубить, на:PREF/руб:ROOT/и:SUFF/ть:SUFF, на:PREF/руб:ROOT/ить:END, VERB
взваливаться, вз:PREF/вал:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, вз:PREF/вал:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
перебодать, пере:PREF/бод:ROOT/а:SUFF/ть:SUFF, пере:PREF/бод:ROOT/ать:END, VERB
угнать, у:PREF/гн:ROOT/а:SUFF/ть:SUFF, у:PREF/гн:ROOT/ать:END, VERB
выдвинуть, вы:PREF/дви:ROOT/ну:SUFF/ть:SUFF, вы:PREF/дви:ROOT/н:SUFF/уть:END, VERB
наседать, на:PREF/сед:ROOT/а:SUFF/ть:SUFF, на:PREF/сед:ROOT/ать:END, VERB
увалить, у:PREF/вал:ROOT/и:SUFF/ть:SUFF, у:PREF/вал:ROOT/ить:END, VERB
предоставить, предостав:ROOT/и:SUFF/ть:SUFF, пред:PREF/о:SUFF/став:ROOT/ить:END, VERB
отложиться, от:PREF/лож:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, от:PREF/лож:ROOT/ить:END/ся:POSTFIX, VERB
переписывать, пере:PREF/пис:ROOT/ыва:SUFF/ть:SUFF, пере:PREF/пис:ROOT/ыв:SUFF/ать:END, VERB
довеивать, до:PREF/ве:ROOT/ива:SUFF/ть:SUFF, до:PREF/ве:ROOT/ив:SUFF/ать:END, VERB
укреплять, у:PREF/крепл:ROOT/я:SUFF/ть:SUFF, у:PREF/крепл:ROOT/ять:END, VERB
осмотреться, о:PREF/смотр:ROOT/е:SUFF/ть:SUFF/ся:POSTFIX, о:PREF/смотр:ROOT/еть:END/ся:POSTFIX, VERB
ограничить, о:PREF/гранич:ROOT/и:SUFF/ть:SUFF, о:PREF/гран:ROOT/ич:SUFF/ить:END, VERB
обрушиться, об:PREF/руш:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, об:PREF/руш:ROOT/ить:END/ся:POSTFIX, VERB
наполнить, на:PREF/полн:ROOT/и:SUFF/ть:SUFF, на:PREF/полн:ROOT/ить:END, VERB
лизнуть, лиз:ROOT/ну:SUFF/ть:SUFF, лиз:ROOT/н:SUFF/уть:END, VERB
подтягиваться, под:PREF/тяг:ROOT/ива:SUFF/ть:SUFF/ся:POSTFIX, под:PREF/тяг:ROOT/ив:SUFF/ать:END/ся:POSTFIX, VERB
грузить, груз:ROOT/и:SUFF/ть:SUFF, груз:ROOT/ить:END, VERB
вызываться, вы:PREF/зыв:ROOT/а:SUFF/ть:SUFF/ся:POSTFIX, вы:PREF/зыв:ROOT/ать:END/ся:POSTFIX, VERB
проплыть, про:PREF/плы:ROOT/ть:SUFF, про:PREF/плы:ROOT/ть:END, VERB
пилить, пил:ROOT/и:SUFF/ть:SUFF, пил:ROOT/ить:END, VERB
арестовывать, арест:ROOT/ов:SUFF/ыва:SUFF/ть:SUFF, арест:ROOT/ов:SUFF/ыв:SUFF/ать:END, VERB
замерзать, за:PREF/мерз:ROOT/а:SUFF/ть:SUFF, за:PREF/мерз:ROOT/ать:END, VERB
проучиться, про:PREF/уч:ROOT/и:SUFF/ть:SUFF/ся:POSTFIX, про:PREF/уч:ROOT/ить:END/ся:POSTFIX, VERB
придумывать, при:PREF/дум:ROOT/ыва:SUFF/ть:SUFF, при:PREF/дум:ROOT/ыв:SUFF/ать:END, VERB
довернуться, до:PREF/вер:ROOT/ну:SUFF/ть:SUFF/ся:POSTFIX, до:PREF/вер:ROOT/н:SUFF/уть:END/ся:POSTFIX, VERB
удаться, уда:ROOT/ть:SUFF/ся:POSTFIX, у:PREF/да:ROOT/ть:END/ся:POSTFIX, VERB
нахватать, на:PREF/хват:ROOT/а:SUFF/ть:SUFF, на:PREF/хват:ROOT/ать:END, VERB
погадать, по:PREF/гад:ROOT/а:SUFF/ть:SUFF, по:PREF/гад:ROOT/ать:END, VERB
холодить, холод:ROOT/и:SUFF/ть:SUFF, холод:ROOT/ить:END, VERB
поливать, по:PREF/ли:ROOT/ва:SUFF/ть:SUFF, по:PREF/лив:ROOT/ать:END, VERB
забуянить, за:PREF/бу:ROOT/ян:SUFF/и:SUFF/ть:SUFF, за:PREF/бу:ROOT/ян:SUFF/ить:END, VERB
протрясти, про:PREF/тряс:ROOT/ти:SUFF, про:PREF/тряс:ROOT/ти:END, VERB
перебороть, пере:PREF/бор:ROOT/о:SUFF/ть:SUFF, пере:PREF/бор:ROOT/оть:END, VERB
впасть, в:PREF/пас:ROOT/ть:SUFF, в:PREF/пас:ROOT/ть:END, VERB
выказать, вы:PREF/каз:ROOT/а:SUFF/ть:SUFF, вы:PREF/каз:ROOT/ать:END, VERB
